parcellation,seed,input_set,target,leak_score,threshold,exceeds,verdict
Glasser,1,bv+demo,age,1.0,0.85,True,EXEMPT_FLAGGED
Glasser,2,bv+demo,age,1.0,0.85,True,EXEMPT_FLAGGED
Glasser,6,bv+demo,age,1.0,0.85,True,EXEMPT_FLAGGED
Glasser,8,bv+demo,age,1.0,0.85,True,EXEMPT_FLAGGED
Glasser,0,bv+demo,age,0.9999999999999998,0.85,True,EXEMPT_FLAGGED
Glasser,4,bv+demo,age,0.9999999999999998,0.85,True,EXEMPT_FLAGGED
Glasser,5,bv+demo,age,0.9999999999999998,0.85,True,EXEMPT_FLAGGED
Glasser,9,bv+demo,age,0.9999999999999998,0.85,True,EXEMPT_FLAGGED
Glasser,3,bv+demo,age,0.9999999999999996,0.85,True,EXEMPT_FLAGGED
Glasser,7,bv+demo,age,0.9999999999999996,0.85,True,EXEMPT_FLAGGED
Glasser,9,pred_SC+bv+demo,age,0.9999999999999942,0.85,True,EXEMPT_FLAGGED
Glasser,1,pred_SC+bv+demo,age,0.9999999999999934,0.85,True,EXEMPT_FLAGGED
Glasser,0,pred_FC+bv+demo,age,0.9999999999999926,0.85,True,EXEMPT_FLAGGED
Glasser,6,pred_SC+bv+demo,age,0.9999999999999926,0.85,True,EXEMPT_FLAGGED
Glasser,2,pred_SC+bv+demo,age,0.9999999999999925,0.85,True,EXEMPT_FLAGGED
Glasser,7,pred_FC+bv+demo,age,0.9999999999999922,0.85,True,EXEMPT_FLAGGED
Glasser,4,pred_FC+bv+demo,age,0.9999999999999892,0.85,True,EXEMPT_FLAGGED
Glasser,2,pred_FC+bv+demo,age,0.9999999999999885,0.85,True,EXEMPT_FLAGGED
Glasser,3,pred_SC+bv+demo,age,0.9999999999999878,0.85,True,EXEMPT_FLAGGED
Glasser,9,pred_FC+bv+demo,age,0.999999999999987,0.85,True,EXEMPT_FLAGGED
Glasser,0,pred_SC+bv+demo,age,0.9999999999999856,0.85,True,EXEMPT_FLAGGED
Glasser,7,pred_SC+bv+demo,age,0.9999999999999856,0.85,True,EXEMPT_FLAGGED
Glasser,8,pred_SC+bv+demo,age,0.9999999999999852,0.85,True,EXEMPT_FLAGGED
Glasser,4,pred_SC+bv+demo,age,0.9999999999999803,0.85,True,EXEMPT_FLAGGED
